BEGIN_RECORD 2020-07-02 21:13:38
C	26	APER1391
P	1	
P	2	
P	3	
P	4	
P	5	
END_RECORD  
BEGIN_RECORD 2020-07-02 21:13:52
C	20	P0408424
P	1	
P	2	
P	3	
P	4	
P	5	
END_RECORD 
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004
P	1	1
P	2	2
P	3	3
P	4	4
P	5	5
P	6	6
P	7	7
P	8	8
P	9	9
P	10	10
P	11	11
P	12	12
P	13	13
P	14	14
P	15	15
P	16	16
P	17	17
P	18	18
P	19	19
P	20	20
P	21	21
P	22	22
P	23	23
P	24	24
P	25	25
P	26	26
P	27	27
P	28	28
P	29	29
P	30	30
P	31	31
P	32	32
END_RECORD		
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004
P	1	33
P	2	34
P	3	35
P	4	36
P	5	37
P	6	38
P	7	39
P	8	40
P	9	41
P	10	42
P	11	43
P	12	44
P	13	45
P	14	46
P	15	47
P	16	48
P	17	49
P	18	50
P	19	51
P	20	52
P	21	53
P	22	54
P	23	55
P	24	56
P	25	57
P	26	58
P	27	59
P	28	60
P	29	61
P	30	62
P	31	63
P	32	64
END_RECORD		
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004
P	1	65
P	2	66
P	3	67
P	4	68
P	5	69
P	6	70
P	7	71
P	8	72
P	9	73
P	10	74
P	11	75
P	12	76
P	13	77
P	14	78
P	15	79
P	16	80
P	17	81
P	18	82
P	19	83
P	20	84
P	21	85
P	22	86
P	23	87
P	24	88
P	25	89
P	26	90
P	27	91
P	28	92
P	29	93
P	30	94
P	31	95
P	32	96
END_RECORD		
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004
P	1	97
P	2	98
P	3	99
P	4	100
P	5	101
P	6	102
P	7	103
P	8	104
P	9	105
P	10	106
P	11	107
P	12	108
P	13	109
P	14	110
P	15	111
P	16	112
P	17	113
P	18	114
P	19	115
P	20	116
P	21	117
P	22	118
P	23	119
P	24	120
P	25	121
P	26	122
P	27	123
P	28	124
P	29	125
P	30	126
P	31	127
P	32	128
END_RECORD		
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004131
P	1	132
P	2	133
P	3	134
P	4	135
P	5	136
P	6	137
P	7	138
P	8	139
P	9	140
P	10	141
P	11	142
P	12	143
P	13	144
P	14	145
P	15	146
P	16	147
P	17	148
P	18	149
P	19	150
P	20	151
P	21	152
P	22	153
P	23	154
P	24	155
P	25	156
P	26	157
P	27	158
P	28	159
P	29	160
P	30	161
P	31	162
P	32	163
END_RECORD		
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004166
P	1	167
P	2	168
P	3	169
P	4	170
P	5	171
P	6	172
P	7	173
P	8	174
P	9	175
P	10	176
P	11	177
P	12	178
P	13	179
P	14	180
P	15	181
P	16	182
P	17	183
P	18	184
P	19	185
P	20	186
P	21	187
P	22	188
P	23	189
P	24	190
P	25	191
P	26	192
P	27	193
P	28	194
P	29	195
P	30	196
P	31	197
P	32	198
END_RECORD		
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004201
P	1	202
P	2	203
P	3	204
P	4	205
P	5	206
P	6	207
P	7	208
P	8	209
P	9	210
P	10	211
P	11	212
P	12	213
P	13	214
P	14	215
P	15	216
P	16	217
P	17	218
P	18	219
P	19	220
P	20	221
P	21	222
P	22	223
P	23	224
P	24	225
P	25	226
P	26	227
P	27	228
P	28	229
P	29	230
P	30	231
P	31	232
P	32	233
END_RECORD		
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004236
P	1	237
P	2	238
P	3	239
P	4	240
P	5	241
P	6	242
P	7	243
P	8	244
P	9	245
P	10	246
P	11	247
P	12	248
P	13	249
P	14	250
P	15	251
P	16	252
P	17	253
P	18	254
P	19	255
P	20	256
P	21	257
P	22	258
P	23	259
P	24	260
P	25	261
P	26	262
P	27	263
P	28	264
P	29	265
P	30	266
P	31	267
P	32	268
END_RECORD		
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004271
P	1	272
P	2	273
P	3	274
P	4	275
P	5	276
P	6	277
P	7	278
P	8	279
P	9	280
P	10	281
P	11	282
P	12	283
P	13	284
P	14	285
P	15	286
P	16	287
P	17	288
P	18	289
P	19	290
P	20	291
P	21	292
P	22	293
P	23	294
P	24	295
P	25	296
P	26	297
P	27	298
P	28	299
P	29	300
P	30	301
P	31	302
P	32	303
END_RECORD		
BEGIN_RECORD 2020-07-02 19:38:50		
C	47	S0250004306
P	1	307
P	2	308
P	3	309
P	4	310
P	5	311
